Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;Maakond;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Käive;Töötajate arv
10028896;EUGESTA EESTI AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1261599,36;209652,96;9528763,04;115,00
10308992;MEDIATO, AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1236090,72;62443,22;4240749,53;35,00
10055096;REMEDIA, AS;Äriühing;jah;Harju maakond;TÖÖTLEV TÖÖSTUS;1531699,60;65460,45;2045491,94;37,00
90006590;TALLINNA LASTEHAIGLA, SIHTASUTUS;Sihtasutus;jah;Harju maakond;TERVISHOID JA SOTSIAALHOOLEKANNE;1336350,21;1413725,85;78348,13;811,00
10456729;KARLSKROONA, OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1447132,82;166382,69;9685589,59;96,00
10103586;PÕLDMA KAUBANDUSE AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1565442,65;539299,64;14944480,23;317,00
11269030;OPTIMERA ESTONIA AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1440186,66;656124,75;16893120,24;388,00
90008287;INNOVE, SIHTASUTUS;Sihtasutus;jah;Harju maakond;MUUD TEENINDAVAD TEGEVUSED;1196784,25;1254361,46;12699,85;755,00
10277820;EESTI KESKKONNATEENUSED AS;Äriühing;jah;Harju maakond;"VEEVARUSTUS; KANALISATSIOON; JÄÄTME- JA SAASTEKÄITLUS";1156869,07;796548,56;7633276,08;504,00
10041968;NCC & PO, AS;Äriühing;jah;Harju maakond;VEONDUS JA LAONDUS;1716289,60;15518,76;118088,99;10,00
74000033;RAHVUSOOPER ESTONIA;Valitsus- ja riigiasutus;jah;Harju maakond;KUNST, MEELELAHUTUS JA VABA AEG;1126133,42;1060413,56;1374147,41;703,00
10170660;JYSK LINNEN`N FURNITURE OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1372039,03;232550,90;11320400,47;156,00
10218697;AR AGENTUURI AS;Äriühing;jah;Harju maakond;KINNISVARAALANE TEGEVUS;1671008,88;38472,51;357759,75;26,00
10399457;HOOLEKANDETEENUSED, AS;Äriühing;jah;Harju maakond;TERVISHOID JA SOTSIAALHOOLEKANNE;1297917,73;1369452,03;136017,13;934,00
10472757;AS POSTIMEES GRUPP;Äriühing;ei;;INFO JA SIDE;1118759,53;1000987,30;5136022,33;3,00
70000585;PÄÄSTEAMET;Valitsus- ja riigiasutus;jah;Harju maakond;" AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1831891,84;1520957,75;2074472,37;0,00
12950729;SANDERS EESTI FILIAAL;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1678312,48;0,00;9131281,21;0,00
12553431;PIKKSILMA KODU OÜ;Äriühing;jah;Harju maakond;EHITUS;1000330,05;0,00;6395847,09;0,00
10005122;STOCKMANN AS;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1747431,42;581868,49;16313279,40;416,00
12325865;H&M HENNES & MAURITZ OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1727698,58;381064,03;13702517,32;331,00
10813224;LPP ESTONIA OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1040797,42;302410,22;7841988,93;270,00
11516178;FINESTA BALTIC OÜ;Äriühing;jah;Harju maakond;HALDUS- JA ABITEGEVUSED;1368488,87;921174,64;2727983,96;836,00
10318973;SILLAMÄE SADAM, AS;Äriühing;jah;Ida-Viru maakond;VEONDUS JA LAONDUS;1112876,68;462849,44;7191883,67;145,00
10622346;USS SECURITY EESTI AS;Äriühing;jah;Harju maakond;HALDUS- JA ABITEGEVUSED;1639132,27;1082790,45;3789304,04;1026,00
10190065;PREMIER RESTAURANTS EESTI OÜ;Äriühing;jah;Harju maakond;MAJUTUS JA TOITLUSTUS;1249540,56;481210,81;6820373,93;503,00
10082335;RUUKKI PRODUCTS AS;Äriühing;jah;Pärnu maakond;TÖÖTLEV TÖÖSTUS;1174861,55;371426,17;20176438,58;132,00
10224137;IMATRA ELEKTER AS;Äriühing;jah;Lääne maakond;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ?HUGA VARUSTAMINE;1174949,95;109235,28;9275803,54;39,00
10854884;VKG KAEVANDUSED, OÜ;Äriühing;jah;Ida-Viru maakond;MÄETÖÖSTUS;1291174,22;1388169,26;0,00;519,00
70000349;MAKSU- JA TOLLIAMET;Valitsus- ja riigiasutus;jah;Harju maakond;" AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1060714,68;1125656,20;64817,92;1404,00
12249762;EESTI TEED, AS;Äriühing;jah;Lääne-Viru maakond;EHITUS;1243563,54;707079,94;4141411,41;302,00
10031220;ISS EESTI, AS;Äriühing;jah;Harju maakond;HALDUS- JA ABITEGEVUSED;1616559,46;1111815,17;5903499,51;1620,00
10419987;SOL BALTICS OÜ;Äriühing;jah;Harju maakond;HALDUS- JA ABITEGEVUSED;1676490,12;1093089,05;4880007,19;1697,00
10664333;UPM-KYMMENE OTEPÄÄ AS;Äriühing;jah;Valga maakond;TÖÖTLEV TÖÖSTUS;1610273,51;499379,96;14888107,75;248,00
10528765;VKG OIL AS;Äriühing;jah;Ida-Viru maakond;TÖÖTLEV TÖÖSTUS;1631021,97;1292411,55;0,00;685,00
10633284;ENEFIT SOLUTIONS AS;Äriühing;jah;Ida-Viru maakond;TÖÖTLEV TÖÖSTUS;1394264,71;1488651,74;0,00;795,00
10052966;VILJANDI AKEN JA UKS, AS;Äriühing;jah;Viljandi maakond;TÖÖTLEV TÖÖSTUS;1209773,66;1357067,10;16545794,50;726,00
90004585;VILJANDI HAIGLA, SIHTASUTUS;Sihtasutus;jah;Viljandi maakond;TERVISHOID JA SOTSIAALHOOLEKANNE;1329566,90;1410372,16;74350,28;849,00
11189800;OSAÜHING N&V;Äriühing;jah;Ida-Viru maakond;HALDUS- JA ABITEGEVUSED;1013352,60;592106,14;4228298,18;366,00
10120596;WENDRE AS;Äriühing;jah;Pärnu maakond;TÖÖTLEV TÖÖSTUS;1927852,20;1419535,73;29556374,41;914,00
90003217;NARVA HAIGLA, SIHTASUTUS;Sihtasutus;jah;Ida-Viru maakond;TERVISHOID JA SOTSIAALHOOLEKANNE;1014060,97;1074765,14;59383,33;708,00
90003433;IDA-VIRU KESKHAIGLA, SIHTASUTUS;Sihtasutus;jah;Ida-Viru maakond;TERVISHOID JA SOTSIAALHOOLEKANNE;1683249,47;1788278,22;123950,52;1181,00
12017738;APRICOT OÜ;Äriühing;jah;Viljandi maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1206013,09;19677,55;1378899,89;14,00
10097762;JÄRVA TARBIJATE ÜHISTU;Äriühing;jah;Järva maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1098889,65;743178,60;19851848,86;736,00
